date,symbol,cashAndCashEquivalents,propertyPlantEquipmentNet,totalDebt,price,mktCap,industry,sector,image,isActivelyTrading,ebit,workingCapital,Security Name,Exchange,enterpriseValue,earningsYield,returnOnCapital,rocRank,yieldRank,rankSum,overallRank
2024-12-31,CIG,1898000000.0,4102000000.0,12709000000.0,1.81,5736831182.0,Diversified Utilities,Utilities,https://images.financialmodelingprep.com/symbol/CIG.png,True,7419497000.0,-1914000000.0,Comp En De Mn Cemig ADS American Depositary Shares,NYSE,16547831182.0,44.836673267918044,339.09949725776966,127.0,241.0,368.0,15.0
2024-09-30,GMM,8068560.0,674366.0,5999791.0,2.82,49409877.0,Information Technology Services,Technology,https://images.financialmodelingprep.com/symbol/GMM.png,True,20955584.0,5664864.0,Global Mofy AI Limited  - Class A Ordinary Shares,NASDAQ,47341108.0,44.26508986650671,330.5698641633132,132.0,244.0,376.0,16.0
2024-12-31,ASR,20083457000.0,268450000.0,13381952000.0,338.47,10262647667.0,"Airlines, Airports & Air Services",Industrials,https://images.financialmodelingprep.com/symbol/ASR.png,True,21198009000.0,19769005000.0,"Grupo Aeroportuario del Sureste, S.A. de C.V. Common Stock",NYSE,3561142667.0,595.2586285417697,105.79192317587238,345.0,64.0,409.0,17.0
2024-12-31,SQNS,9093000.0,4049000.0,5382000.0,1.58,40112248.0,Semiconductors,Technology,https://images.financialmodelingprep.com/symbol/SQNS.png,True,68687000.0,50351000.0,Sequans Communications S.A. American Depositary Shares (each representing ten (10) Ordinary Shares),NYSE,36401248.0,188.69407993923727,126.26286764705883,298.0,131.0,429.0,18.0
2024-09-30,YCBD,2452553.0,602793.0,1270004.0,1.01,790683.0,Drug Manufacturers - Specialty & Generic,Healthcare,https://images.financialmodelingprep.com/symbol/YCBD.png,True,-2092453.0,-2809100.0,"cbdMD, Inc. Common Stock",AMEX,-391866.0,533.9715617073183,94.83961207574467,377.0,68.0,445.0,19.0
2024-12-31,ERIC,43885000000.0,17032000000.0,45536000000.0,8.45,28363521979.0,Communication Equipment,Technology,https://images.financialmodelingprep.com/symbol/ERIC.png,True,36947000000.0,11894000000.0,Ericsson - American Depositary Shares each representing 1 underlying Class B share,NASDAQ,30014521979.0,123.09707955985567,127.7293784138837,293.0,158.0,451.0,20.0
2024-12-31,EFSCP,760345000.0,45009000.0,192754000.0,19.21,709477167.0,Banks - Regional,Financial Services,https://images.financialmodelingprep.com/symbol/EFSCP.png,True,310672000.0,260280000.0,"Enterprise Financial Services Corporation - Depositary Shares Each Representing a 1/40th Interest in a Share of 5% Fixed Rate Non-Cumulative Perpetual Preferred Stock, Series A",NASDAQ,141886167.0,218.9586247685442,101.76324728372133,355.0,112.0,467.0,21.0
2024-12-31,OMAB,1656365000.0,3238839000.0,11460870000.0,98.8,4523123478.0,"Airlines, Airports & Air Services",Industrials,https://images.financialmodelingprep.com/symbol/OMAB.png,True,8599036000.0,2253237000.0,Grupo Aeroportuario del Centro Norte S.A.B. de C.V. - American Depositary Shares each representing 8 Series B shares,NASDAQ,14327628478.0,60.017162039089555,156.57168618933898,256.0,219.0,475.0,22.0
2024-12-31,ELPC,672952009.0,1427041360.0,2841681756.0,8.12,1613734233.0,Diversified Utilities,Utilities,https://images.financialmodelingprep.com/symbol/ELPC.png,True,2559248943.0,436475763.0,Companhia Paranaense de Energia (COPEL) American Depositary Shares (each representing four (4) Common Shares),NYSE,3782463980.0,67.66089397102468,137.33434007195865,279.0,203.0,482.0,23.0
2024-12-31,EIG,68300000.0,11500000.0,4200000.0,49.5,1190009700.0,Insurance - Specialty,Financial Services,https://images.financialmodelingprep.com/symbol/EIG.png,True,204300000.0,40300000.0,Employers Holdings Inc Common Stock,NYSE,1125909700.0,18.14532728512775,394.40154440154436,111.0,395.0,506.0,24.0
2024-03-31,ROIV,6535706000.0,65950000.0,499749000.0,10.76,7677787240.0,Biotechnology,Healthcare,https://images.financialmodelingprep.com/symbol/ROIV.png,True,4425222000.0,5222484000.0,Roivant Sciences Ltd. - Common Shares,NASDAQ,1641830240.0,269.5298144831344,83.677360821748,418.0,99.0,517.0,25.0
2024-12-31,ESNT,131480000.0,41871000.0,493959000.0,59.47,6146402910.0,Insurance - Specialty,Financial Services,https://images.financialmodelingprep.com/symbol/ESNT.png,True,890810000.0,10289000.0,Essent Group Ltd. Common Shares,NYSE,6508881910.0,13.686067934822926,1707.8412576687117,28.0,523.0,551.0,26.0
2024-12-31,NVO,15655000000.0,162488000000.0,102787000000.0,65.4,292149654082.0,Drug Manufacturers - General,Healthcare,https://images.financialmodelingprep.com/symbol/NVO.png,True,134061000000.0,-61722000000.0,Novo Nordisk A/S Common Stock,NYSE,379281654082.0,35.346028092098614,133.0418990532521,283.0,271.0,554.0,27.0
2024-12-31,BK,101937000000.0,3266000000.0,45444000000.0,87.93,62908111620.0,Asset Management,Financial Services,https://images.financialmodelingprep.com/symbol/BK.png,True,6329000000.0,3692000000.0,The Bank of New York Mellon Corporation Common Stock,NYSE,6415111620.0,98.65767542170997,90.96004599022707,391.0,173.0,564.0,28.0
2024-06-30,LVRO,911335000.0,439003000.0,1847881000.0,2.44,285447328.0,Agricultural Inputs,Basic Materials,https://images.financialmodelingprep.com/symbol/LVRO.png,True,206113000.0,-355348000.0,Lavoro Limited - Class A Ordinary Shares,NASDAQ,1221993328.0,16.86694970236368,246.38455561532484,168.0,417.0,585.0,29.0
2024-12-31,PAC,13465861000.0,4850901000.0,48029920000.0,214.95,10160256600.0,"Airlines, Airports & Air Services",Industrials,https://images.financialmodelingprep.com/symbol/PAC.png,True,15735170000.0,8419404000.0,"Grupo Aeroportuario Del Pacifico, S.A. B. de C.V. Grupo Aeroportuario Del Pacifico, S.A. de C.V. (each representing 10 Series B shares)",NYSE,44724315600.0,35.18258421376492,118.57429049294647,314.0,272.0,586.0,30.0
2023-12-31,DTCK,1330000.0,437000.0,734000.0,0.634,15533397.0,Agricultural Farm Products,Consumer Defensive,https://images.financialmodelingprep.com/symbol/DTCK.png,True,5084390.0,3806677.0,Davis Commodities Limited - Ordinary Shares,NASDAQ,14937397.0,34.03799202766051,119.81095639465491,311.0,277.0,588.0,31.0
2024-12-31,GNFT,81788000.0,7596000.0,62133000.0,4.21,209610427.0,Biotechnology,Healthcare,https://images.financialmodelingprep.com/symbol/GNFT.png,True,41608586.0,17604000.0,GENFIT S.A. - American Depositary Shares,NASDAQ,189955427.0,21.904394445124222,165.1134365079365,241.0,350.0,591.0,32.0
2024-12-31,WPP,1983000000.0,2294000000.0,6348000000.0,40.51,8740153706.0,Advertising Agencies,Communication Services,https://images.financialmodelingprep.com/symbol/WPP.png,True,1845600000.0,-1855000000.0,WPP plc American Depositary Shares,NYSE,13105153706.0,14.083009184051154,420.4100227790433,102.0,508.0,610.0,33.0
2024-12-31,NMIH,54218000.0,33881000.0,415146000.0,38.0,2968670200.0,Insurance - Specialty,Financial Services,https://images.financialmodelingprep.com/symbol/NMIH.png,True,516177000.0,158362000.0,NMI Holdings Inc - Common Stock,NASDAQ,3329598200.0,15.502681374587478,268.5023641953153,157.0,462.0,619.0,34.0
2024-12-31,ATLC,499636000.0,13878000.0,2505188000.0,57.72,873084264.0,Financial - Credit Services,Financial Services,https://images.financialmodelingprep.com/symbol/ATLC.png,True,468491000.0,189260000.0,Atlanticus Holdings Corporation - Common Stock,NASDAQ,2878636264.0,16.274755024068575,230.62696295129422,183.0,438.0,621.0,35.0
2024-12-31,LGCL,30380000.0,85040000.0,68027000.0,0.4782,37955125.0,Software - Application,Technology,https://images.financialmodelingprep.com/symbol/LGCL.png,True,134804000.0,125852000.0,Lucas GC Limited - Ordinary Shares,NASDAQ,75602125.0,178.3071573715686,63.92086944976576,521.0,133.0,654.0,36.0
2024-12-31,BWMX,296558000.0,2115498000.0,5169538000.0,9.5,354506750.0,Specialty Retail,Consumer Cyclical,https://images.financialmodelingprep.com/symbol/BWMX.png,True,1627197000.0,-428615000.0,"Betterware de Mexico, S.A.P.I. de C.V. Ordinary Shares",NYSE,5227486750.0,31.1277116101729,96.46175816580048,372.0,287.0,659.0,37.0
2024-12-31,FVCB,8161000.0,7982000.0,76333000.0,11.89,218849718.0,Banks - Regional,Financial Services,https://images.financialmodelingprep.com/symbol/FVCB.png,True,39195000.0,5656000.0,"FVCBankcorp, Inc. - Common Stock",NASDAQ,287021718.0,13.655761059865162,287.3955125384954,149.0,524.0,673.0,38.0
2024-12-31,ABEV,28595700000.0,30170200000.0,3452700000.0,2.52,39430944645.0,Beverages - Alcoholic,Consumer Defensive,https://images.financialmodelingprep.com/symbol/ABEV.png,True,21668533000.0,4767070000.0,Ambev S.A. American Depositary Shares (Each representing 1 Common Share),NYSE,14287944645.0,151.65605367587145,62.02125409340798,535.0,144.0,679.0,39.0
2024-12-31,NVAX,530230000.0,299998000.0,230419000.0,6.19,1002594300.0,Biotechnology,Healthcare,https://images.financialmodelingprep.com/symbol/NVAX.png,True,500150000.0,445858000.0,"Novavax, Inc. - Common Stock",NASDAQ,702783300.0,71.16702972310242,67.05717993821864,497.0,195.0,692.0,40.0
2024-12-31,WU,2105600000.0,245300000.0,3132000000.0,9.71,3209397750.0,Financial - Credit Services,Financial Services,https://images.financialmodelingprep.com/symbol/WU.png,True,713600000.0,291400000.0,Western Union Company (The) Common Stock,NYSE,4235797750.0,16.84688557190909,132.9606856716974,284.0,418.0,702.0,41.0
2024-12-31,UL,6136000000.0,11669000000.0,30655000000.0,60.77,151979693000.0,Household & Personal Products,Consumer Defensive,https://images.financialmodelingprep.com/symbol/UL.png,True,21318000000.0,-6040000000.0,Unilever PLC Common Stock,NYSE,176498693000.0,12.078276409672903,378.71735654645585,115.0,593.0,708.0,42.0
2024-12-31,VSTA,84532000.0,160952000.0,1175986000.0,4.08,327224246.0,Education & Training Services,Consumer Defensive,https://images.financialmodelingprep.com/symbol/VSTA.png,True,349344000.0,222153000.0,Vasta Platform Limited - Class A Ordinary Shares,NASDAQ,1418678246.0,24.624611040944938,91.18753344383393,390.0,321.0,711.0,43.0
2024-12-31,DOUG,139738000.0,138191000.0,156277000.0,2.04,181025194.0,Real Estate - Services,Real Estate,https://images.financialmodelingprep.com/symbol/DOUG.png,True,154673000.0,103908000.0,Douglas Elliman Inc. Common Stock,NYSE,197564194.0,78.28999621257282,63.88832667627706,522.0,191.0,713.0,44.0
2024-09-30,CGTL,443322.0,150014.0,126886.0,0.98,21008750.0,Specialty Retail,Consumer Cyclical,https://images.financialmodelingprep.com/symbol/CGTL.png,True,8966797.878295057,12474443.0,Creative Global Technology Holdings Limited - Class A Ordinary Shares,NASDAQ,20692314.0,43.33395423196776,71.02719648294621,469.0,247.0,716.0,45.0
2024-12-31,PBYI,69219000.0,5094000.0,74082000.0,3.01,149410681.0,Biotechnology,Healthcare,https://images.financialmodelingprep.com/symbol/PBYI.png,True,41772000.0,45847000.0,Puma Biotechnology Inc - Common Stock,NASDAQ,154273681.0,27.07655624033499,82.00074596101372,425.0,307.0,732.0,46.0
2024-12-31,VIRT,872513000.0,266461000.0,5712499000.0,42.36,3639215376.0,Financial - Capital Markets,Financial Services,https://images.financialmodelingprep.com/symbol/VIRT.png,True,1562008000.0,1198967000.0,"Virtu Financial, Inc. - Class A Common Stock",NASDAQ,8479201376.0,18.421640561824535,106.5905660325857,342.0,391.0,733.0,47.0
2025-02-01,DDT,717854000.0,33562000.0,355323000.0,26.15,415785000.0,Department Stores,Consumer Cyclical,https://images.financialmodelingprep.com/symbol/DDT.png,True,715545000.0,1533200000.0,Dillard's Capital Trust I,NYSE,53254000.0,1343.6455477522816,45.67030601967625,696.0,39.0,735.0,48.0
2024-06-30,CTLP,58920000.0,42015000.0,47327000.0,7.74,565472790.0,Information Technology Services,Technology,https://images.financialmodelingprep.com/symbol/CTLP.png,True,106055000.0,64217000.0,"Cantaloupe, Inc. - Common Stock",NASDAQ,553879790.0,19.14765657002939,99.83338353791702,359.0,383.0,742.0,49.0
2024-06-30,OTEX,1280662000.0,587514000.0,6687413000.0,28.19,7305212980.0,Software - Application,Technology,https://images.financialmodelingprep.com/symbol/OTEX.png,True,1365624226.0,-361550000.0,Open Text Corporation - Common Shares,NASDAQ,12711963980.0,10.742826428304591,604.3547759820149,75.0,673.0,748.0,50.0
2024-12-31,RAIL,44450000.0,77611000.0,158994000.0,7.1,221833288.0,Railroads,Industrials,https://images.financialmodelingprep.com/symbol/RAIL.png,True,104660000.0,64917000.0,"Freightcar America, Inc. - Common Stock",NASDAQ,336377288.0,31.113872349193798,73.43118545127975,461.0,288.0,749.0,51.0
2024-03-31,JL,4161818.0,2509793.0,2125381.0,3.94,12371600.0,Apparel - Manufacturers,Consumer Cyclical,https://images.financialmodelingprep.com/symbol/JL.png,True,2840073.0,1338534.0,J-Long Group Limited - Ordinary Shares,NASDAQ,10335163.0,27.479711737492675,73.80019941132862,458.0,305.0,763.0,52.0
2024-12-31,STLA,34100000000.0,45011000000.0,37227000000.0,10.96,31399399484.0,Auto - Manufacturers,Consumer Cyclical,https://images.financialmodelingprep.com/symbol/STLA.png,True,28539000000.0,6392000000.0,Stellantis N.V. Common Shares,NYSE,34526399484.0,82.65848865366155,55.520105830399004,586.0,188.0,774.0,53.0
2024-12-31,BTMWW,29472000.0,29442000.0,63507000.0,0.06,113695796.0,Investment - Banking & Investment Services,Financial Services,https://images.financialmodelingprep.com/symbol/BTMWW.png,True,24359000.0,-6296000.0,Bitcoin Depot Inc. - Warrant,NASDAQ,147730796.0,16.488775975998937,105.2406463319796,348.0,433.0,781.0,54.0
2024-12-31,TH,190668000.0,59870000.0,209646000.0,6.99,690703569.0,Specialty Business Services,Industrials,https://images.financialmodelingprep.com/symbol/TH.png,True,99197000.0,15932000.0,Target Hospitality Corp. - Common Stock,NASDAQ,709681569.0,13.977677360252821,130.863301759848,287.0,511.0,798.0,55.0
2024-12-31,COE,27758000.0,3251000.0,2683000.0,19.52,1906265.0,Education & Training Services,Consumer Defensive,https://images.financialmodelingprep.com/symbol/COE.png,True,-8440276.0,-16809000.0,"51Talk Online Education Group American depositary shares, each representing 60 Class A ordinary shares",AMEX,-23168735.0,36.42959358808325,62.25310517775483,533.0,268.0,801.0,56.0
2024-12-31,SWKH,5927000.0,48000.0,31412000.0,13.65,167480040.0,Asset Management,Financial Services,https://images.financialmodelingprep.com/symbol/SWKH.png,True,24512000.0,14689000.0,SWK Holdings Corporation - Common Stock,NASDAQ,192965040.0,12.70281912205444,166.32964646807355,237.0,567.0,804.0,57.0
2024-12-31,MTG,229485000.0,35679000.0,644667000.0,26.59,6313449830.0,Insurance - Specialty,Financial Services,https://images.financialmodelingprep.com/symbol/MTG.png,True,722857000.0,212693000.0,MGIC Investment Corporation Common Stock,NYSE,6728631830.0,10.743001226149715,291.0380397146216,146.0,672.0,818.0,58.0
2024-06-30,BHP,12389000000.0,71629000000.0,20178000000.0,50.81,64461787346.0,Industrial Materials,Basic Materials,https://images.financialmodelingprep.com/symbol/BHP.png,True,43263000000.0,8558000000.0,BHP Group Limited American Depositary Shares (Each representing two Ordinary Shares),NYSE,72250787346.0,59.87893224307563,53.952635714018484,603.0,221.0,824.0,59.0
2024-12-31,OMC,4339400000.0,1868300000.0,6870800000.0,77.43,15107289870.0,Advertising Agencies,Communication Services,https://images.financialmodelingprep.com/symbol/OMC.png,True,2386000000.0,89900000.0,Omnicom Group Inc. Common Stock,NYSE,17638689870.0,13.527081759389198,121.84659381064242,306.0,531.0,837.0,60.0
2024-02-29,KARO,459527000.0,2032794000.0,266805000.0,44.58,1376924628.0,Software - Application,Technology,https://images.financialmodelingprep.com/symbol/KARO.png,True,1123656000.0,302064000.0,Karooooo Ltd. - Ordinary shares,NASDAQ,1184202628.0,94.88713953436691,48.12523930791509,662.0,176.0,838.0,61.0
2024-12-31,IHG,1008000000.0,422000000.0,3688000000.0,123.75,19190060381.0,Travel Lodging,Consumer Cyclical,https://images.financialmodelingprep.com/symbol/IHG.png,True,2064000000.0,-59000000.0,Intercontinental Hotels Group American Depositary Shares (Each representing one Ordinary Share),NYSE,21870060381.0,9.437559677673027,568.595041322314,78.0,770.0,848.0,62.0
2023-12-31,PSIG,10769662.0,244148.0,64916.0,0.3191,8289240.0,Integrated Freight & Logistics,Industrials,https://images.financialmodelingprep.com/symbol/PSIG.png,True,-1249811.0,-2663786.0,PS International Group Ltd. - Ordinary Shares,NASDAQ,-2415506.0,51.741167275096814,51.65280922187534,625.0,231.0,856.0,63.0
2024-06-30,DRD,521500000.0,6794900000.0,29200000.0,14.01,1208271449.0,Gold,Basic Materials,https://images.financialmodelingprep.com/symbol/DRD.png,True,2919750000.0,540100000.0,DRDGOLD Limited American Depositary Shares,NYSE,715971449.0,407.802574261589,39.805725971370144,780.0,79.0,859.0,64.0
2024-06-27,JBSS,484000.0,192498000.0,55567000.0,62.64,736569541.0,Packaged Foods,Consumer Defensive,https://images.financialmodelingprep.com/symbol/JBSS.png,True,75658000.0,-173991000.0,"John B. Sanfilippo & Son, Inc. - Common Stock",NASDAQ,791652541.0,9.556970524522072,408.8074782514724,104.0,757.0,861.0,65.0
2024-12-31,LPA,23664288.0,415711.0,279315896.0,6.26,197955598.0,REIT - Industrial,Real Estate,https://images.financialmodelingprep.com/symbol/LPA.png,True,45036532.0,13476918.0,Logistic Properties of the Americas Ordinary Shares,AMEX,453607206.0,9.928530985462343,324.1757337650059,135.0,726.0,861.0,65.0
2024-12-31,HCXY,113124000.0,16778000.0,18194000.0,25.2,3090980290.0,Asset Management,Financial Services,https://images.financialmodelingprep.com/symbol/HCXY.png,True,288929000.0,65264000.0,"Hercules Capital, Inc. 6.25% Notes due 2033",NYSE,2996050290.0,9.64366322435796,352.1720582140855,122.0,745.0,867.0,67.0
2024-12-31,SDHC,22363000.0,12670000.0,12073000.0,20.77,186750921.0,Real Estate - Development,Real Estate,https://images.financialmodelingprep.com/symbol/SDHC.png,True,119989000.0,241718000.0,Smith Douglas Homes Corp. Class A Common Stock,NYSE,176460921.0,67.99749163725605,47.167712313473906,671.0,202.0,873.0,68.0
2024-12-31,CINT,350581000.0,86229735.0,917799000.0,6.21,836376828.0,Software - Infrastructure,Technology,https://images.financialmodelingprep.com/symbol/CINT.png,True,312177000.0,411393384.0,CI&T Inc Class A Common Shares,NYSE,1403594828.0,22.24124752901982,62.733620702216605,528.0,345.0,873.0,68.0
2024-12-31,MDBH,20437492.0,731845.0,711503.0,4.25,42290182.0,Financial - Capital Markets,Financial Services,https://images.financialmodelingprep.com/symbol/MDBH.png,True,11377173.0,22404450.0,"MDB Capital Holdings, LLC - Class A common ",NASDAQ,22564193.0,50.421360072571616,49.17456749233185,648.0,233.0,881.0,70.0
2024-12-31,DALN,9594000.0,30067000.0,17379000.0,4.2444,22718159.0,Publishing,Communication Services,https://images.financialmodelingprep.com/symbol/DALN.png,True,28906000.0,35207000.0,DallasNews Corporation - Series A Common Stock,NASDAQ,30503159.0,94.76395543163251,44.28409473909979,712.0,177.0,889.0,71.0
2024-12-31,CNC,14063000000.0,2067000000.0,19429000000.0,58.97,29343648910.0,Medical - Healthcare Plans,Healthcare,https://images.financialmodelingprep.com/symbol/CNC.png,True,5224000000.0,4145000000.0,Centene Corporation Common Stock,NYSE,34709648910.0,15.05056998284688,84.0952994204765,417.0,472.0,889.0,71.0
2024-12-31,TME,13164000000.0,1098000000.0,6051000000.0,14.69,11639254235.0,Internet Content & Information,Communication Services,https://images.financialmodelingprep.com/symbol/TME.png,True,7898000000.0,17994000000.0,"Tencent Music Entertainment Group American Depositary Shares, each representing two Class A Ordinary Shares",NYSE,4526254235.0,174.49307064829515,41.368112298344855,754.0,136.0,890.0,73.0
2024-12-31,FPI,78441000.0,194000.0,203877000.0,10.4,478296000.0,REIT - Specialty,Real Estate,https://images.financialmodelingprep.com/symbol/FPI.png,True,78971000.0,71539000.0,Farmland Partners Inc. Common Stock,NYSE,603732000.0,13.080472792563588,110.09019558641072,338.0,555.0,893.0,74.0
2024-12-31,KRO,106700000.0,714700000.0,528000000.0,7.63,877724680.0,Chemicals - Specialty,Basic Materials,https://images.financialmodelingprep.com/symbol/KRO.png,True,210100000.0,-430300000.0,Kronos Worldwide Inc Common Stock,NYSE,1299024680.0,16.173672697273155,73.87482419127988,456.0,439.0,895.0,75.0
2024-12-31,BTM,29472000.0,29442000.0,63507000.0,1.77,113172655.0,Financial - Capital Markets,Financial Services,https://images.financialmodelingprep.com/symbol/BTM.png,True,21002000.0,-6296000.0,Bitcoin Depot Inc. - Class A Common Stock,NASDAQ,147207655.0,14.266921105427569,90.73706039920505,393.0,502.0,895.0,75.0
2024-12-31,RTO,925000000.0,963000000.0,4141000000.0,23.28,11701179840.0,Specialty Business Services,Industrials,https://images.financialmodelingprep.com/symbol/RTO.png,True,1432000000.0,-488000000.0,Rentokil Initial plc American Depositary Shares (each representing five (5) Ordinary Shares),NYSE,14917179840.0,9.59966974561862,301.4736842105263,144.0,753.0,897.0,77.0
2024-12-31,TGNA,693214000.0,507854000.0,3139872000.0,17.73,2849636520.0,Broadcasting,Communication Services,https://images.financialmodelingprep.com/symbol/TGNA.png,True,761547000.0,393388000.0,TEGNA Inc,NYSE,5296294520.0,14.3788642630093,84.49972371460717,415.0,497.0,912.0,78.0
2024-12-31,HLF,415300000.0,645900000.0,2469300000.0,6.81,693578070.0,Packaged Foods,Consumer Defensive,https://images.financialmodelingprep.com/symbol/HLF.png,True,437500000.0,-35000000.0,Herbalife Ltd. Common Shares,NYSE,2747578070.0,15.923114424916049,71.61564904239647,466.0,447.0,913.0,79.0
2024-12-31,CROX,180485000.0,551563000.0,1701296000.0,120.26,6743531396.0,Apparel - Footwear & Accessories,Consumer Cyclical,https://images.financialmodelingprep.com/symbol/CROX.png,True,1018231000.0,368750000.0,"Crocs, Inc. - Common Stock",NASDAQ,8264342396.0,12.320774614721081,110.63964107863302,337.0,578.0,915.0,80.0
2024-12-31,FORTY,507799000.0,208167000.0,644213000.0,97.1133,1489009095.0,Information Technology Services,Technology,https://images.financialmodelingprep.com/symbol/FORTY.png,True,333106000.0,346792000.0,Formula Systems (1985) Ltd. - American Depositary Shares,NASDAQ,1625423095.0,20.493494956770007,60.023533270025354,550.0,365.0,915.0,80.0
2024-12-31,SBC,125044092.0,14038958.0,12214143.0,3.5,362639375.0,Consulting Services,Industrials,https://images.financialmodelingprep.com/symbol/SBC.png,True,71657781.0,123259130.0,SBC Medical Group Holdings Incorporated - Common Stock,NASDAQ,249809426.0,28.684978844633346,52.19139031273327,618.0,298.0,916.0,82.0
2024-12-31,TDC,420000000.0,193000000.0,576000000.0,23.55,2251380000.0,Software - Infrastructure,Technology,https://images.financialmodelingprep.com/symbol/TDC.png,True,202000000.0,-181000000.0,Teradata Corporation Common Stock,NYSE,2407380000.0,8.390864757537239,1683.3333333333333,29.0,891.0,920.0,83.0
